scope,key,n,samples,samples_below,below_loq,loq_gt_30pct_eqs,below_loq_no_loq,no_loq_any,qc_loq_unknown,declared_and_bounded,declared_not_bounded,undeclared_but_bounded,silent,has_eqs,loq_gt_eqs,censored,censored_with_value
substance,Methoxychlor,5594,37051,25363,4786,0,0,573,573,5021,0,0,573,0,0,4766,4745
substance,"3,4-dichloroaniline",5569,35475,34912,5565,0,0,0,0,5569,0,0,0,0,0,5492,5492
substance,Oxadiazon,5487,31968,30418,5361,0,0,100,100,5387,0,0,100,0,0,5280,5280
substance,Hexazinone,5424,58370,40775,4685,0,0,714,714,4682,0,28,714,0,0,4533,4533
substance,Imidacloprid,5396,29296,25883,5163,5306,0,0,0,5396,0,0,0,5396,4091,4654,4654
substance,Hydrogen cyanide,5335,16048,15998,5329,0,0,0,0,5335,0,0,0,0,0,5319,5319
substance,Thallium,5213,44509,37218,4803,0,0,238,238,4956,0,19,238,0,0,4672,4672
substance,Trietazine,5201,26843,26769,5195,0,0,0,0,5201,0,0,0,0,0,5194,5194
substance,Carbendazim,5159,34389,31621,5041,0,0,0,0,5159,0,0,0,0,0,4767,4767
substance,Meta xylene + para xylene,5105,19319,19240,5102,0,0,0,0,5105,0,0,0,0,0,5094,5094
substance,"Dichlorprop (2,4-DP)",5059,42406,41607,5039,0,0,20,20,5020,0,19,20,0,0,4940,4940
substance,"BDE 99 (2,2’,4,4’,5-pentabromodiphenyl ether)",5049,34419,29397,4652,0,0,34,34,5014,0,1,34,0,0,4361,4335
substance,Azinphos-ethyl,4949,26996,26981,4949,0,0,0,0,4949,0,0,0,0,0,4943,4943
substance,Fenamiphos,4917,28043,27957,4917,0,0,0,0,4917,0,0,0,0,0,4912,4912
substance,Hexachlorocyclohexane,4895,34505,25143,3973,892,0,864,864,4031,0,0,864,4895,240,3827,3759
substance,"BDE 47 (2,2’,4,4’-tetrabromodiphenyl ether)",4775,32325,30810,4637,0,0,0,0,4774,0,1,0,0,0,4561,4535
substance,"BDE 153 (2,2’,4,4’,5,5’-hexabromodiphenyl ether)",4757,32444,31197,4625,0,0,31,31,4725,0,1,31,0,0,4566,4540
substance,BOD7,4725,43275,0,388,0,0,3438,0,1287,0,0,3438,0,0,388,388
substance,"BDE 100 (2,2’,4,4’,6-pentabromodiphenyl ether)",4708,32028,30778,4566,0,0,0,0,4707,0,1,0,0,0,4483,4457
substance,Chloridazon,4685,49726,31788,4069,0,0,575,575,4091,0,19,575,0,0,3855,3855
substance,"BDE 154 (2,2’,4,4’,5,6’-hexabromodiphenyl ether)",4651,31306,30631,4550,0,0,0,0,4650,0,1,0,0,0,4535,4509
substance,Imazalil,4621,26993,25735,4573,0,0,0,0,4621,0,0,0,0,0,4386,4386
substance,Tributyltin-cation,4602,39368,33680,4166,3290,11,318,318,4248,0,36,318,4602,1388,3427,3294
substance,"BDE 28 (2,4,4'-tribromodiphenyl ether)",4590,31455,29255,4477,0,0,31,31,4557,0,2,31,0,0,4429,4403
substance,4-chlorotoluene,4502,36204,20875,3936,0,0,566,566,3935,0,1,566,0,0,3929,3929
substance,"1,1-dichloroethane",4482,33287,17105,3918,0,0,549,549,3932,0,1,549,0,0,3899,3899
substance,"2,4,5-T",4429,37703,26958,3849,0,0,573,573,3840,0,16,573,0,0,3820,3820
substance,Phosalone,4414,22329,13672,4111,0,0,303,303,4111,0,0,303,0,0,4106,4106
